tipo_operacion,fecha_apertura,fecha_cierre,precio_apertura,precio_cierre,dinero_ganado_perdido
BUY,2008-06-02 13:00:00,2008-06-02 18:00:00,104.87298,104.15276298,--360.10850999999633
BUY,2008-06-02 15:00:00,2008-06-02 18:00:00,104.87298,104.15276298,--360.10850999999633
BUY,2008-06-02 14:00:00,2008-06-02 19:00:00,104.87298,104.15276298,--360.10850999999633
BUY,2008-07-24 21:00:00,2008-07-25 08:00:00,107.23656,106.67665656,--279.9517199999997
BUY,2008-07-28 21:00:00,2008-07-29 11:00:00,107.44756,107.71511999999998,133.77999999999446
BUY,2008-08-12 21:00:00,2008-08-13 04:00:00,109.35714,108.60414714000001,--376.496429999996
BUY,2008-11-05 13:00:00,2008-11-05 22:00:00,98.94706000000001,97.86497706,--541.0414700000033
SELL,2008-11-14 03:00:00,2008-11-14 03:00:00,96.83076,96.02516924000001,-402.7953799999935
BUY,2008-12-30 15:00:00,2008-12-30 17:00:00,90.50542,90.13435541999999,--185.53229000000474
BUY,2008-12-29 14:00:00,2009-01-05 13:00:00,90.31914,93.50828000000001,1594.5700000000045
BUY,2009-01-07 16:00:00,2009-01-08 08:00:00,92.85661999999999,91.68160662,--587.5066899999979
BUY,2009-01-07 18:00:00,2009-01-08 08:00:00,92.85661999999999,91.68160662,--587.5066899999979
BUY,2009-01-07 17:00:00,2009-01-08 09:00:00,92.85661999999999,91.68160662,--587.5066899999979
BUY,2009-03-27 11:00:00,2009-03-27 12:00:00,98.14166,97.60263966,--269.51017000000377
BUY,2009-03-27 14:00:00,2009-03-30 06:00:00,98.14166,97.60263966,--269.51017000000377
BUY,2009-05-06 11:00:00,2009-05-11 15:00:00,98.33241,97.46902341,--431.6932949999952
BUY,2009-05-29 14:00:00,2009-05-29 16:00:00,96.20388,95.48054388,--361.6680599999995
BUY,2009-06-09 18:00:00,2009-06-16 05:00:00,97.51772,96.58559772000001,--466.06113999999366
BUY,2009-06-09 20:00:00,2009-06-16 06:00:00,97.51772,96.58559772000001,--466.06113999999366
BUY,2009-07-21 08:00:00,2009-07-21 17:00:00,94.20554,93.75061554000001,--227.46222999999333
BUY,2009-08-11 15:00:00,2009-08-11 16:00:00,96.64018,95.83389018000001,--403.14490999999464
BUY,2009-10-20 06:00:00,2009-11-02 00:00:00,90.36264,89.68758264,--337.52867999999836
BUY,2009-12-08 04:00:00,2009-12-09 08:00:00,89.133264,88.042605264,--545.3293679999973
BUY,2009-12-18 04:00:00,2009-12-21 18:00:00,89.578428,90.997856,709.7139999999982
BUY,2010-02-22 14:00:00,2010-02-23 16:00:00,91.21083,90.54553383000001,--332.6480849999953
SELL,2010-05-10 15:00:00,2010-05-10 15:00:00,92.409432,90.913390568,-748.0207159999992
SELL,2010-05-10 16:00:00,2010-05-10 16:00:00,92.409432,90.913390568,-748.0207159999992
SELL,2010-05-10 20:00:00,2010-05-10 20:00:00,92.409432,90.913390568,-748.0207159999992
BUY,2010-06-04 16:00:00,2010-06-07 02:00:00,91.966142,91.327439142,--319.351429000001
BUY,2010-06-04 18:00:00,2010-06-07 02:00:00,91.966142,91.327439142,--319.351429000001
BUY,2010-06-04 17:00:00,2010-06-07 03:00:00,91.966142,91.327439142,--319.351429000001
SELL,2010-08-05 01:00:00,2010-08-05 01:00:00,86.340228,86.03772377199999,-151.25211400000182
SELL,2010-08-05 01:00:00,2010-08-05 01:00:00,86.340228,86.03772377199999,-151.25211400000182
BUY,2011-01-10 21:00:00,2011-01-19 02:00:00,82.884788,82.314814788,--284.9866059999968
BUY,2011-01-10 22:00:00,2011-01-19 03:00:00,82.884788,82.314814788,--284.9866059999968
SELL,2011-03-18 15:00:00,2011-03-18 15:00:00,80.657694,79.112339306,-772.6773470000055
BUY,2011-08-08 02:00:00,2011-08-08 11:00:00,78.724448,77.717756448,--503.34577599999625
BUY,2011-09-06 10:00:00,2011-09-12 07:00:00,77.245144,76.953825144,--145.65942799999476
BUY,2011-11-02 15:00:00,2011-11-14 09:00:00,78.012954,77.00296595399999,--504.9940230000019
BUY,2011-11-29 13:00:00,2011-11-30 14:00:00,77.787006,77.410506006,--188.2499969999998
BUY,2012-01-26 10:00:00,2012-01-26 16:00:00,77.734942,77.322657942,--206.14202899999867
BUY,2012-03-05 12:00:00,2012-03-06 17:00:00,81.1563,80.6389803,--258.6598500000008
BUY,2012-06-25 11:00:00,2012-06-26 10:00:00,79.91593999999999,79.40457594,--255.68202999999556
BUY,2012-10-04 21:00:00,2012-10-08 11:00:00,78.419444,78.162315444,--128.56427799999892
SELL,2014-01-30 17:00:00,2014-01-30 17:00:00,102.83018200000001,102.555270818,-137.45559100000548
BUY,2014-03-11 22:00:00,2014-03-13 09:00:00,103.009134,102.443320134,--282.9069329999996
BUY,2014-03-11 23:00:00,2014-03-13 15:00:00,103.009134,102.443320134,--282.9069329999996
BUY,2014-08-01 22:00:00,2014-08-06 18:00:00,102.537478,102.135284478,--201.09676099999518
BUY,2014-10-27 17:00:00,2014-10-30 06:00:00,107.684994,109.124988,719.9969999999993
BUY,2014-10-27 19:00:00,2014-10-30 06:00:00,107.684994,109.124988,719.9969999999993
BUY,2014-11-21 04:00:00,2014-12-16 10:00:00,117.627832,116.67937183200002,--474.23008399999134
